Time,X,Y,Z,LED 1,LED 2,LED 3,LED 4,LED 5,LED 6,LED 7,LED 8,LED 9,LED 10,LED 11,LED 12,LED 13,LED 14,LED 15,LED 16,LED 17,LED 18,LED 19,LED 20,LED 21,LED 22,LED 23,LED 24,LED 25,LED 26,LED 27,LED 28,Amount,Class
0,0,0,0,8.272,3.625,4.993,2.56,2.653,1.596,8.272,3.625,4.993,2.56,2.653,1.596,-0.991389847,-0.311169354,1.468176972,-0.470400525,0.207971242,0.02579058,0.40399296,0.251412098,-0.018306778,0.277837576,-0.11047391,0.066928075,0.128539358,-0.189114844,0.133558377,-0.021053053,149.62,0
0,4,0,0,8.705,3.885,5.194,2.712,2.73,1.671,8.705,3.885,5.194,2.712,2.73,1.671,0.489095016,-0.143772296,0.635558093,0.463917041,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.101288021,-0.339846476,0.167170404,0.125894532,-0.008983099,0.014724169,2.69,0
1,8,0,0,9.134,4.162,5.39,2.872,2.804,1.748,9.134,4.162,5.39,2.872,2.804,1.748,0.717292731,-0.165945923,2.345864949,-2.890083194,1.109969379,-0.121359313,-2.261857095,0.524979725,0.247998153,0.771679402,0.909412262,-0.689280956,-0.327641834,-0.139096572,-0.055352794,-0.059751841,378.66,0
1,12,0,0,9.554,4.456,5.579,3.04,2.875,1.826,9.554,4.456,5.579,3.04,2.875,1.826,0.50775687,-0.287923745,-0.631418118,-1.059647245,-0.684092786,1.965775003,-1.23262197,-0.208037781,-0.108300452,0.005273597,-0.190320519,-1.175575332,0.647376035,-0.221928844,0.062722849,0.061457629,123.5,0
2,16,0,0,9.959,4.768,5.758,3.214,2.941,1.907,9.959,4.768,5.758,3.214,2.941,1.907,1.345851593,-1.119669835,0.17512113,-0.451449183,-0.237033239,-0.038194787,0.803486925,0.40854236,-0.009430697,0.798278495,-0.13745808,0.141266984,-0.206009588,0.502292224,0.21942223,0.215153147,69.99,0
2,20,0,0,10.344,5.097,5.927,3.395,3.002,1.988,10.344,5.097,5.927,3.395,3.002,1.988,-0.358090653,-0.1371337,0.517616807,0.401725896,-0.058132823,0.068653149,-0.033193788,0.084967672,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779,0.253844225,0.081080257,3.67,0
4,24,0,0,10.703,5.445,6.081,3.581,3.057,2.071,10.703,5.445,6.081,3.581,3.057,2.071,-0.751062716,0.167371963,0.050143594,-0.443586798,0.002820512,-0.61198734,-0.045575045,-0.219632553,-0.167716266,-0.270709726,-0.154103787,-0.780055415,0.750136936,-0.257236846,0.03450743,0.005167769,4.99,0
7,28,0,0,11.029,5.809,6.22,3.774,3.106,2.155,11.029,5.809,6.22,3.774,3.106,2.155,1.757964214,-1.32386522,0.686132504,-0.076126999,-1.222127345,-0.35822157,0.324504731,-0.156741852,1.94346534,-1.01545471,0.05750353,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8,0
7,32,0,0,11.316,6.189,6.341,3.971,3.149,2.24,11.316,6.189,6.341,3.971,3.149,2.24,-0.286253632,0.07435536,-0.32878305,-0.210077268,-0.499767969,0.118764861,0.570328167,0.052735669,-0.0734251,-0.268091632,-0.20423267,1.011591802,0.37320468,-0.384157308,0.011747356,0.14240433,93.2,0
9,36,0,0,11.56,6.585,6.443,4.173,3.184,2.324,11.56,6.585,6.443,4.173,3.184,2.324,1.006843514,-0.443522817,0.150219101,0.739452777,-0.540979922,0.47667726,0.451772964,0.203711455,-0.246913937,-0.633752642,-0.120794084,-0.385049925,-0.069733046,0.094198834,0.246219305,0.083075649,3.68,0
